time_utc,u10_mean,v10_mean,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p10,wind10_mps_p90,wind10_direction_deg_mean
2025-01-06 23:00:00,4.7198653,4.5714297,6.736644,0.31069553,19.97655,2.3716435,12.7031975,225.91527
2025-01-07 00:00:00,4.55895,4.793476,6.756726,0.4612998,20.226599,2.531094,12.722379,223.56352
2025-01-07 01:00:00,4.5077147,4.946532,6.818788,0.30396304,20.580503,2.7063935,12.800674,222.34253
2025-01-07 02:00:00,4.563331,4.9875298,6.8947678,0.2941341,20.560091,3.027123,12.809597,222.45691
2025-01-07 03:00:00,4.607703,4.9239287,6.89353,0.31676933,20.926048,2.8579502,12.824878,223.09982
2025-01-07 04:00:00,4.6598206,4.779095,6.855504,0.24064866,21.028292,2.6671414,12.638563,224.27603
2025-01-07 05:00:00,4.6148324,4.632145,6.746603,0.09538785,20.073343,2.6899643,12.494446,224.89273
2025-01-07 06:00:00,4.546517,4.4809737,6.608725,0.033280283,19.334488,2.9039254,11.866845,225.41599
2025-01-07 07:00:00,4.506521,4.3832493,6.522619,0.088542335,18.435265,3.156955,11.458764,225.79446
2025-01-07 08:00:00,4.5034957,4.3066134,6.4748397,0.12491275,17.286104,3.31042,11.26039,226.2802
2025-01-07 09:00:00,4.647358,4.2779813,6.528735,0.3892487,16.327545,3.4178083,11.201032,227.36984
2025-01-07 10:00:00,4.2878814,3.729239,5.8939023,0.19068477,16.521944,3.7839231,10.886824,228.986
2025-01-07 11:00:00,4.4040623,3.8768806,6.08764,0.19262649,16.471443,3.629522,10.8755455,228.64265
2025-01-07 12:00:00,4.702471,3.8967896,6.306347,0.09799721,15.767766,3.695797,10.447798,230.35254
2025-01-07 13:00:00,4.898508,3.7504487,6.3532376,0.3013046,15.831303,4.1443496,10.341387,232.56122
2025-01-07 14:00:00,4.9108825,3.5743709,6.2681684,0.19801067,15.657792,3.988122,10.193382,233.95111
2025-01-07 15:00:00,4.624306,3.5057259,5.9658613,0.08661029,15.796063,3.850867,9.952733,232.83392
2025-01-07 16:00:00,4.374211,3.579466,5.777989,0.10562654,15.885778,3.72513,9.571136,230.70615
2025-01-07 17:00:00,4.3305306,3.6637793,5.794203,0.107938394,15.718289,3.304197,9.6604805,229.76762
2025-01-07 18:00:00,4.344762,3.7509143,5.851059,0.050124455,15.655708,3.153623,9.934315,229.19534
2025-01-07 19:00:00,4.3787255,3.8285897,5.920855,0.1405159,15.91859,3.0393147,10.148448,228.8348
2025-01-07 20:00:00,4.3831925,3.8539433,5.957299,0.23530735,15.962069,2.8338704,10.211632,228.6763
2025-01-07 21:00:00,4.3836837,3.816682,5.962275,0.24319617,15.995606,2.7177293,10.31193,228.95534
2025-01-07 22:00:00,4.2865686,3.585342,5.7615,0.10856285,15.273475,2.9606125,10.350527,230.09045
2025-01-07 23:00:00,4.1787405,3.5859945,5.719087,0.37864825,15.832075,2.9395397,10.525719,229.36539
2025-01-08 00:00:00,4.117655,3.4814997,5.6597395,0.72321486,15.790808,2.77312,10.613033,229.78531
2025-01-08 01:00:00,4.0125732,3.4061708,5.5637302,0.91080064,15.747103,2.7799277,10.619201,229.67293
2025-01-08 02:00:00,3.9741142,3.3275785,5.527208,0.98447084,15.981545,2.5427568,10.782833,230.06012
2025-01-08 03:00:00,4.140258,3.174834,5.572365,1.2023854,16.40622,2.5096269,11.274793,232.51828
2025-01-08 04:00:00,4.218056,3.0086353,5.5102267,0.16774915,16.47728,2.4229908,11.2908745,234.50067
2025-01-08 05:00:00,4.18589,2.9310997,5.416635,0.08987719,16.134195,2.1771498,11.470049,234.99901
2025-01-08 06:00:00,4.2780914,2.8585548,5.4306684,0.19688573,16.298088,1.9682177,11.501024,236.24977
2025-01-08 07:00:00,4.2580185,2.7969413,5.367363,0.076845326,16.166302,1.8654268,11.851443,236.70052
2025-01-08 08:00:00,4.212473,2.803823,5.3448153,0.19196503,16.09089,1.8247653,11.789245,236.35226
2025-01-08 09:00:00,4.3383408,2.7883437,5.450489,0.0033517277,16.36318,1.8355538,11.953086,237.2703
2025-01-08 10:00:00,3.9099834,2.607294,5.048238,0.20967267,15.824159,1.5818657,11.375134,236.30347
2025-01-08 11:00:00,3.9894843,2.6712625,5.1950517,0.050620876,15.648823,1.3578134,11.587587,236.19469
2025-01-08 12:00:00,4.0307264,2.533706,5.2560086,0.09242008,15.926257,1.4370966,11.42455,237.84662
2025-01-08 13:00:00,3.775524,2.4452515,5.0923805,0.05086799,16.61647,1.336847,11.341286,237.07053
2025-01-08 14:00:00,3.283688,2.4088187,4.740651,0.087414466,16.405745,1.3065907,10.669338,233.7373
