date,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p90
2025-12-11,3.7155943,0.019774567,13.136878,8.722859
2025-12-12,2.4774525,0.014091225,10.508098,4.665904
2025-12-13,2.8275106,0.009662814,12.843391,6.363235
2025-12-14,3.667052,0.018799547,14.876552,8.45528
2025-12-15,3.896158,0.04186322,15.402371,6.9008727
2025-12-16,3.0712764,0.03450382,10.088071,5.2957964
2025-12-17,2.7347448,0.025845295,11.754432,4.385779
2025-12-18,4.384976,0.043684896,15.760034,7.5586777
2025-12-19,4.054065,0.029768927,15.938589,7.4447446
2025-12-20,2.3708198,0.016526403,10.348652,4.509597
2025-12-21,3.5596535,0.039193306,11.063526,5.7119308
2025-12-22,4.228376,0.053265627,12.105899,7.82229
2025-12-23,4.8733125,0.052945785,14.111046,8.020839
2025-12-24,5.8567767,0.20764084,12.024041,7.9022403
2025-12-25,4.30566,0.0892964,11.671805,6.156389
2025-12-26,2.6849082,0.014376403,9.34271,4.41571
2025-12-27,3.157896,0.007487278,13.482429,6.790447
2025-12-28,2.9316695,0.029349724,12.93404,5.6770654
2025-12-29,3.7893937,0.0058565927,14.781492,7.1473413
2025-12-30,4.0140953,0.07147909,15.127662,7.541652
2025-12-31,4.621048,0.027322011,14.864997,7.307239
