latitude,longitude,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p90,u10_mean,v10_mean,wind10_direction_deg_mean
48.75,9.25,2.4691236,0.025061538,8.879864,4.228796,0.22121143,0.51710314,203.16075
48.75,9.5,2.5573437,0.057127677,9.108012,4.3585863,0.1533488,0.49582744,197.18573
48.75,9.75,2.611295,0.049589764,8.942752,4.441851,0.19590843,0.41069123,205.50214
48.75,10.0,2.6682045,0.017507836,8.935638,4.5279093,0.31107077,0.2811878,227.88846
48.75,10.25,2.6262813,0.020887682,8.840858,4.43954,0.33597112,0.1844605,241.2316
48.75,10.5,2.6086347,0.058007568,8.821575,4.3916187,0.34699,0.10203763,253.61324
48.75,10.75,2.5900476,0.041168347,8.932523,4.367479,0.32958665,0.050320175,261.3193
48.75,11.0,2.544284,0.023853607,8.837004,4.3098836,0.30460194,-0.012494868,272.34897
48.75,11.25,2.5108366,0.027618412,9.085744,4.269319,0.27901822,-0.08100485,286.18912
48.75,11.5,2.4824505,0.014081011,9.206244,4.247942,0.26889798,-0.12895575,295.62103
48.75,11.75,2.468963,0.013131959,9.24358,4.207862,0.25879714,-0.124529555,295.6962
48.75,12.0,2.4762857,0.024610965,9.434813,4.1606297,0.25374958,-0.08385806,288.28748
48.75,12.25,2.4035285,0.026180742,9.614021,4.0989647,0.2517359,-0.07505774,286.6025
48.75,12.5,2.3103936,0.047666386,9.527831,4.0103936,0.22022071,-0.10657629,295.82477
48.75,12.75,2.1672149,0.038576078,8.986162,3.8342967,0.12657428,-0.21779028,329.8359
48.75,13.0,2.0914218,0.027450817,8.275216,3.752131,0.03495855,-0.27936354,352.86728
48.75,13.25,2.1171749,0.02431453,7.6141167,3.8390539,-0.026652513,-0.32742557,4.6536255
48.75,13.5,2.2702188,0.03218866,8.118476,4.0862436,0.07085547,-0.3169884,347.39996
48.75,13.75,2.3004513,0.022569817,8.3646,4.184505,0.26371652,-0.2535036,313.8688
48.75,14.0,2.41498,0.015890231,8.400237,4.2446146,0.511971,-0.16989468,288.35812
48.75,14.25,2.3796442,0.018698243,8.125872,4.1269107,0.4985604,-0.03747101,274.2982
48.75,14.5,2.4945598,0.04244403,8.667424,4.2226253,0.4672152,0.06935969,261.5559
48.75,14.75,2.742857,0.04557557,9.163781,4.5682387,0.4062021,0.12750795,252.57278
48.75,15.0,2.88408,0.03845118,9.006372,4.81908,0.48408377,-0.0117115,271.3859
49.0,6.0,3.4547067,0.0320612,12.388749,5.798273,0.21404518,0.42970902,206.47865
49.0,6.25,3.4437559,0.06318444,12.422198,5.7694273,0.16728656,0.4168709,201.86514
49.0,6.5,3.412634,0.078074105,12.073856,5.7734294,0.14459208,0.4468332,197.93121
49.0,6.75,3.3998125,0.011873221,11.790616,5.771331,0.11244633,0.49620834,192.76822
49.0,7.0,3.3208523,0.027739959,11.33927,5.6361656,0.09695109,0.50164586,190.93848
49.0,7.25,3.1167307,0.018799547,10.406402,5.2324705,0.10780755,0.33093095,198.04408
49.0,7.5,2.9180527,0.07227422,9.507766,4.7743573,0.10965766,0.094878964,229.13269
49.0,7.75,2.809472,0.02867666,9.451095,4.7532005,0.24268743,0.029263435,263.12442
49.0,8.0,2.759659,0.048419204,9.530275,4.814862,0.25291547,0.118517004,244.89206
49.0,8.25,2.7310858,0.040311817,9.526545,4.8072686,0.2420335,0.36892247,213.26709
49.0,8.5,2.6833708,0.048588146,9.2347765,4.6444497,0.27874255,0.4719905,210.56476
49.0,8.75,2.6484134,0.024464078,8.947063,4.494616,0.31108537,0.5105578,211.35416
49.0,9.0,2.5206234,0.063129045,8.795425,4.3239856,0.22726913,0.4099547,209.00294
49.0,9.25,2.4915044,0.054385368,8.4730835,4.256757,0.11651367,0.36974216,197.49075
49.0,9.5,2.5547028,0.014868435,8.55265,4.419594,0.1044879,0.37150612,195.7089
49.0,9.75,2.6888764,0.045123994,8.6529455,4.619796,0.14817202,0.37589863,201.51341
49.0,10.0,2.846213,0.0621085,9.041386,4.7920704,0.2455354,0.35743713,214.48647
49.0,10.25,2.8424003,0.10245782,8.913427,4.698787,0.32909214,0.30587375,227.09418
49.0,10.5,2.8459432,0.08684703,9.022431,4.6689563,0.38659775,0.26377812,235.69403
49.0,10.75,2.744868,0.033903547,8.930869,4.4768577,0.35264334,0.2075775,239.51753
49.0,11.0,2.6923013,0.030610887,8.990637,4.4177732,0.29708263,0.12640598,246.95068
49.0,11.25,2.7059186,0.054161586,9.03555,4.437962,0.21558739,0.02579764,263.1763
49.0,11.5,2.679116,0.07638418,9.072674,4.4498606,0.25182876,-0.05759277,282.8819
49.0,11.75,2.6547303,0.07189825,8.9949255,4.4408135,0.27818224,-0.109088935,291.4126
